,0
0,-2.4040021896362305
1,-3.869997978210449
2,-4.995998382568359
3,-5.802001476287842
4,-6.664000511169434
5,-7.571999549865723
6,-8.116000175476074
7,-8.596004486083984
8,-9.146001815795898
9,-9.924003601074219
10,-10.66400146484375
11,-11.762003898620605
12,-12.612001419067383
13,-13.758000373840332
14,-14.59000015258789
15,-15.466004371643066
16,-16.06800079345703
17,-16.710002899169922
18,-16.84600067138672
19,-17.21400260925293
20,-17.282001495361328
21,-17.535999298095703
22,-17.4580020904541
23,-17.51000213623047
24,-17.535999298095703
25,-17.51599884033203
26,-17.702003479003906
27,-17.78399658203125
28,-17.94399642944336
29,-18.0260009765625
30,-18.12000274658203
31,-18.29199981689453
32,-18.452003479003906
33,-18.445999145507812
34,-18.535999298095703
35,-18.484004974365234
36,-18.691999435424805
37,-18.56599998474121
38,-18.727994918823242
39,-18.667999267578125
40,-18.75800132751465
41,-18.923999786376953
42,-18.889999389648438
43,-19.051998138427734
44,-19.203994750976562
45,-19.351993560791016
46,-19.358001708984375
47,-19.519996643066406
48,-19.738000869750977
49,-19.919998168945312
50,-20.04400062561035
51,-20.23600196838379
52,-20.263999938964844
53,-20.661998748779297
54,-20.589998245239258
55,-20.680002212524414
56,-20.671998977661133
57,-20.493999481201172
58,-20.531997680664062
59,-20.608003616333008
60,-20.643999099731445
61,-20.705997467041016
62,-20.700000762939453
63,-20.726001739501953
64,-20.645998001098633
65,-20.618000030517578
66,-20.639999389648438
67,-20.627994537353516
68,-20.722000122070312
69,-20.750001907348633
70,-20.76199722290039
71,-20.716007232666016
72,-20.748001098632812
73,-20.741994857788086
74,-20.8019962310791
75,-20.827999114990234
76,-20.850000381469727
77,-20.829994201660156
78,-20.859996795654297
79,-20.7760009765625
80,-20.837997436523438
81,-20.874000549316406
82,-20.85199737548828
83,-20.847999572753906
84,-20.802001953125
85,-20.803997039794922
86,-20.847999572753906
87,-20.885997772216797
88,-20.880001068115234
89,-20.89800262451172
90,-20.889995574951172
91,-20.889999389648438
92,-20.87000274658203
93,-20.889999389648438
94,-20.8799991607666
95,-20.90199851989746
96,-20.90000343322754
97,-20.874000549316406
98,-20.884002685546875
99,-20.881999969482422
